4.120000,1162,2738354-promise-of-zion
3.790000,835,3443594-emma
3.230000,662,1350704.All_Shall_Be_Well_And_All_Shall_Be_Well_And_All_Manner_of_Things_Shall_Be_Well
3.840000,829283,1656001.The_Host
4.390000,629565,2120932.The_Battle_of_the_Labyrinth
4.210000,402956,3153910-the-art-of-racing-in-the-rain
3.970000,135710,2118745.The_Knife_of_Never_Letting_Go
3.710000,145395,2120652.Love_the_One_You_re_With
4.150000,133058,3206011-crazy-love
4.010000,168466,2233407.From_Dead_to_Worse
4.300000,98152,1971304.City_of_Thieves
4.080000,71620,476543.The_Darkest_Night
3.330000,73297,426775.Chasing_Harry_Winston
4.310000,87921,2168860.One_Foot_in_the_Grave
3.690000,53800,2321296.Ink_Exchange
3.190000,51970,1840511.Snuff
3.760000,256677,2459785.In_the_Woods
3.970000,42668,2133795.Savvy
3.980000,46736,2200877.The_Sugar_Queen
3.940000,39971,2029927.Odd_Hours
4.210000,39001,2159225.The_Mysterious_Benedict_Society_and_the_Perilous_Journey
3.770000,35657,2213324.Airhead
4.370000,40621,2003625.Dark_Desires_After_Dusk
3.860000,36352,2149535.Blood_Noir
4.070000,26710,2202049.Such_a_Pretty_Fat
4.020000,28622,2475251.The_Cellist_of_Sarajevo
4.000000,22697,2017056.Skeletons_at_the_Feast
3.910000,23885,2659997-stolen-innocence
3.950000,21107,1330324.Sea_of_Poppies
4.120000,27807,2195309.The_Hollow
3.910000,17587,2272880.The_Drunkard_s_Walk
3.440000,19100,2204464.Ever
4.190000,20915,1729146.Raven_Rise
3.790000,14517,2342943.Oh_My_Gods_
4.310000,21978,2157243.Playing_with_Fire
3.600000,12670,2328841.Suite_Scarlett
4.290000,17537,2073686.Tales_From_the_Hood
3.410000,16690,2615008-netherland
3.530000,1303783,2243541.New_Moon
3.770000,12132,2227528.The_Plague_of_Doves
4.260000,15572,2237117.Outcast
3.600000,12357,3157877-generation-dead
4.090000,11895,2086132.What_It_Is
3.650000,10867,2085319.Take_Me_There
3.860000,11509,2120783.The_Post_American_World
3.820000,12708,2179832.Bright_Shiny_Morning
3.850000,15240,2176735.Breath
3.500000,10489,2134097.Island_of_Lost_Girls
4.030000,13368,2014625.Phantom_Prey
3.900000,12865,2017717.Careless_in_Red
4.150000,7064,2393575.Nixonland
3.950000,9532,2768169-the-underneath
3.730000,8550,2153793.A_Case_of_Exploding_Mangoes
4.000000,8393,2319370.Playing_With_Fire
4.250000,9037,2164409.Demon_Apocalypse
3.310000,8274,2529355.Comfort_Food
3.350000,4388,1581330.Snoop
3.810000,5182,2873264-the-tenth-gift
3.910000,6061,2062048.The_Diplomat_s_Wife
4.060000,6617,1783289.Ambition
3.910000,8411,1163444.A_Fatal_Waltz
3.930000,7606,2871839-deeper
3.140000,6238,3128819-the-front
3.560000,5597,2574860-the-lazarus-project
4.130000,6338,2245252.Wicked_Pleasure
3.510000,6004,2706168-the-billionaire-s-vinegar
4.190000,5090,2194051.Warrior_s_Return
3.230000,5751,2134009.All_We_Ever_Wanted_Was_Everything
3.870000,5845,2200542.The_Calder_Game
